SYMBOL,NAME OF COMPANY,ISIN NUMBER
MGL,Mahanagar Gas Limited,INE002S01010
MHLXMIRU,Mahalaxmi Rubtech Limited,INE112D01035
MHRIL,Mahindra Holidays & Resorts India Limited,INE998I01010
MICEL,MIC Electronics Limited,INE287C01037
MIDHANI,Mishra Dhatu Nigam Limited,INE099Z01011
MIDWESTLimited,Midwest Limited,INE0XAD01024
MINDACORP,Minda Corporation Limited,INE842C01021
MINDTECK,Mindteck (India) Limited,INE110B01017
MIRCELECTR,MIRC Electronics Limited,INE831A01028
MIRZAINT,Mirza International Limited,INE771A01026
MITCON,MITCON Consultancy & Engineering Services Limited,INE828O01033
MITTAL,Mittal Life Style Limited,INE997Y01027
MKPL,M K Proteins Limited,INE964W01021
MMFL,MM Forgings Limited,INE227C01017
MMP,MMP Industries Limited,INE511Y01018
MMTC,MMTC Limited,INE123F01029
MOBIKWIK,One Mobikwik Systems Limited,INE0HLU01028
MODINATUR,Modi Naturals Limited,INE537F01012
MODIRUBBER,Modi Rubber Limited,INE832A01018
MODIS,Modis Navnirman Limited,INE0L0L01012
MODISONLimited,MODISON LIMITED,INE737D01021
MODTHREAD,Modern Threads (India) Limited,INE794W01014
MOHITIND,Mohit Industries Limited,INE954E01012
MOIL,MOIL Limited,INE490G01020
MOKSH,Moksh Ornaments Limited,INE514Y01020
MOL,Meghmani Organics Limited,INE0CT101020
MOLDTECH,Mold-Tek Technologies Limited,INE835B01035
MOLDTKPAC,Mold-Tek Packaging Limited,INE893J01029
MONARCH,Monarch Networth Capital Limited,INE903D01011
MONEYBOXX,Moneyboxx Finance Limited,INE296Q01012
MONTECARLO,Monte Carlo Fashions Limited,INE950M01013
MOREPENLAB,Morepen Laboratories Limited,INE083A01026
MOSCHIP,Moschip Technologies Limited,INE935B01025
MOTHERSON,Samvardhana Motherson International Limited,INE775A01035
MOTILALOFS,Motilal Oswal Financial Services Limited,INE338I01027
MOTISONS,Motisons Jewellers Limited,INE0FRK01020
MOTOGENFIN,The Motor & General Finance Limited,INE861B01023
MPHASIS,MphasiS Limited,INE356A01018
MPSLimited,MPS Limited,INE943D01017
MRF,MRF Limited,INE883A01011
MRPL,Mangalore Refinery and Petrochemicals Limited,INE103A01014
MSPL,MSP Steel & Power Limited,INE752G01015
MSTCLimited,Mstc Limited,INE255X01014
MSUMI,Motherson Sumi Wiring India Limited,INE0FS801015
MTARTECH,Mtar Technologies Limited,INE864I01014
MTEDUCARE,MT Educare Limited,INE472M01018
MTNL,Mahanagar Telephone Nigam Limited,INE153A01019
MUFIN,Mufin Green Finance Limited,INE08KJ01020
MUFTI,Credo Brands Marketing Limited,INE220Q01020
MUKANDLimited,Mukand Limited,INE304A01026
MUKKA,Mukka Proteins Limited,INE0CG401037
MUKTAARTS,Mukta Arts Limited,INE374B01019
MUNJALAU,Munjal Auto Industries Limited,INE672B01032
MUNJALSHOW,Munjal Showa Limited,INE577A01027
MURUDCERA,Murudeshwar Ceramics Limited,INE692B01014
MUTHOOTCAP,Muthoot Capital Services Limited,INE296G01013
MUTHOOTFIN,Muthoot Finance Limited,INE414G01012
MUTHOOTMF,Muthoot Microfin Limited,INE046W01019
MVGJL,Manoj Vaibhav Gems N Jewellers Limited,INE0KNT01012
MWL,Mangalam Worldwide Limited,INE0JYY01011
NACLIND,NACL Industries Limited,INE295D01020
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,INE454M01024
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,INE245I01016
NAGREEKEXP,Nagreeka Exports Limited,INE123B01028
NAHARCAP,Nahar Capital and Financial Services Limited,INE049I01012
NAHARINDUS,Nahar Industrial Enterprises Limited,INE289A01011
NAHARPOLY,Nahar Poly Films Limited,INE308A01027
NAHARSPING,Nahar Spinning Mills Limited,INE290A01027
NAM-INDIA,Nippon Life India Asset Management Limited,INE298J01013
NARMADA,Narmada Agrobase Limited,INE117Z01011
NATCAPSUQ,Natural Capsules Limited,INE936B01015
NATCOPHARM,Natco Pharma Limited,INE987B01026
NATHBIOGEN,Nath Bio-Genes (India) Limited,INE448G01010
NATIONALUM,National Aluminium Company Limited,INE139A01034
NAUKRI,Info Edge (India) Limited,INE663F01032
NAVA,NAVA LIMITED,INE725A01030
NAVINFLUOR,Navin Fluorine International Limited,INE048G01026
NAVKARCORP,Navkar Corporation Limited,INE278M01019
NAVKARURB,Navkar Urbanstructure Limited,INE268H01044
NAVNETEDUL,Navneet Education Limited,INE060A01024
NAZARA,Nazara Technologies Limited,INE418L01047
NBCC,NBCC (India) Limited,INE095N01031
NBIFIN,N. B. I. Industrial Finance Company Limited,INE365I01020
NCC,NCC Limited,INE868B01028
NCLIND,NCL Industries Limited,INE732C01016
NDGL,Naga Dhunseri Group Limited,INE756C01015
NDL,Nandan Denim Limited,INE875G01048
NDLVENTURE,NDL Ventures Limited,INE353A01023
NDRAUTO,Ndr Auto Components Limited,INE07OG01012
NDTV,New Delhi Television Limited,INE155G01029
NECCLimited,North Eastern Carrying Corporation Limited,INE553C01016
NECLIFE,Nectar Lifesciences Limited,INE023H01027
NELCAST,Nelcast Limited,INE189I01024
NELCO,NELCO Limited,INE045B01015
NEOGEN,Neogen Chemicals Limited,INE136S01016
NEPHROPLUS,Nephrocare Health Services Limited,INE428V01029
NESCO,Nesco Limited,INE317F01035
NESTLEIND,Nestle India Limited,INE239A01024
NETWEB,Netweb Technologies India Limited,INE0NT901020
NETWORK18,Network18 Media & Investments Limited,INE870H01013
NEULANDLAB,Neuland Laboratories Limited,INE794A01010
NEWGEN,Newgen Software Technologies Limited,INE619B01017
NEXTMEDIA,Next Mediaworks Limited,INE747B01016
NFL,National Fertilizers Limited,INE870D01012
NGIL,Nakoda Group of Industries Limited,INE236Y01012
NGLFINE,NGL Fine-Chem Limited,INE887E01022
NH,Narayana Hrudayalaya Limited.,INE410P01011
NHPC,NHPC Limited,INE848E01016
NIACL,The New India Assurance Company Limited,INE470Y01017
NIBE,NIBE Limited,INE149O01018
NIBL,NRB Industrial Bearings Limited,INE047O01014
NIITLimited,NIIT Limited,INE161A01038
NIITMTS,NIIT Learning Systems Limited,INE342G01023
NILAINFRA,Nila Infrastructures Limited,INE937C01029
NILASPACES,Nila Spaces Limited,INE00S901012
NILKAMAL,Nilkamal Limited,INE310A01015
NINSYS,NINtec Systems Limited,INE395U01014
NIPPOBATRY,Indo-National Limited,INE567A01028
NIRAJ,Niraj Cement Structurals Limited,INE368I01016
NIRAJISPAT,Niraj Ispat Industries Limited,INE326T01011
NITCO,Nitco Limited,INE858F01012
NITINSPIN,Nitin Spinners Limited,INE229H01012
NITIRAJ,Nitiraj Engineers Limited,INE439T01012
NIVABUPA,Niva Bupa Health Insurance Company Limited,INE995S01015
NKIND,NK Industries Limited,INE542C01019
NLCINDIA,NLC India Limited,INE589A01014
NMDC,NMDC Limited,INE584A01023
NOCIL,NOCIL Limited,INE163A01018
NOIDATOLL,Noida Toll Bridge Company Limited,INE781B01015
NORBTEAEXP,Norben Tea & Exports Limited,INE369C01017
NORTHARC,Northern Arc Capital Limited,INE850M01015
NOVAAGRI,Nova Agritech Limited,INE02H701025
NPST,Network People Services Technologies Limited,INE0FFK01017
NRAIL,N R Agarwal Industries Limited,INE740D01017
NRBBEARING,NRB Bearing Limited,INE349A01021
NRL,Nupur Recyclers Limited,INE0JM501013
NSIL,Nalwa Sons Investments Limited,INE023A01030
NSLNISP,NMDC Steel Limited,INE0NNS01018
NTPC,NTPC Limited,INE733E01010
NTPCGREEN,NTPC Green Energy Limited,INE0ONG01011
NUCLEUS,Nucleus Software Exports Limited,INE096B01018
NURECA,Nureca Limited,INE0DSF01015
NUVAMA,Nuvama Wealth Management Limited,INE531F01023
NUVOCO,Nuvoco Vistas Corporation Limited,INE118D01016
NYKAA,FSN E-Commerce Ventures Limited,INE388Y01029
OAL,Oriental Aromatics Limited,INE959C01023
OBCL,Orissa Bengal Carrier Limited,INE426Z01016
OBEROIRLTY,Oberoi Realty Limited,INE093I01010
OCCLLimited,OCCL Limited,INE0PK601023
ODIGMA,Odigma Consultancy Solutions Limited,INE054301028
OFSS,Oracle Financial Services Software Limited,INE881D01027
OIL,Oil India Limited,INE274J01014
OILCOUNTUB,Oil Country Tubular Limited,INE591A01010
OLAELEC,Ola Electric Mobility Limited,INE0LXG01040
OLECTRA,Olectra Greentech Limited,INE260D01016
OMAXAUTO,Omax Autos Limited,INE090B01011
OMAXE,Omaxe Limited,INE800H01010
OMFREIGHT,Om Freight Forwarders Limited,INE1BZC01019
OMINFRAL,OM INFRA LIMITED,INE239D01028
OMKARCHEM,Omkar Speciality Chemicals Limited,INE474L01016
ONELIFECAP,Onelife Capital Advisors Limited,INE912L01015
ONEPOINT,One Point One Solutions Limited,INE840Y01029
ONESOURCE,Onesource Specialty Pharma Limited,INE013P01021
ONGC,Oil & Natural Gas Corporation Limited,INE213A01029
ONMOBILE,OnMobile Global Limited,INE809I01019
ONWARDTEC,Onward Technologies Limited,INE229A01017
OPTIEMUS,Optiemus Infracom Limited,INE350C01017
ORBTEXP,Orbit Exports Limited,INE231G01010
ORCHASP,Orchasp Limited,INE215B01022
ORCHPHARMA,Orchid Pharma Limited,INE191A01027
ORICONENT,Oricon Enterprises Limited,INE730A01022
ORIENTALTL,Oriental Trimex Limited,INE998H01012
ORIENTBELL,Orient Bell Limited,INE607D01018
ORIENTCEM,Orient Cement Limited,INE876N01018
ORIENTCER,ORIENT CERATECH LIMITED,INE569C01020
ORIENTELEC,Orient Electric Limited,INE142Z01019
ORIENTHOT,Oriental Hotels Limited,INE750A01020
ORIENTLimited,Orient Press Limited,INE609C01024
ORIENTPPR,Orient Paper & Industries Limited,INE592A01026
ORIENTTECH,Orient Technologies Limited,INE0PPK01015
ORISSAMINE,The Orissa Minerals Development Company Limited,INE725E01024
ORKLAINDIA,Orkla India Limited,INE16NZ01023
ORTINGLOBE,ORTIN GLOBAL LIMITED,INE749B01020
OSIAHYPER,Osia Hyper Retail Limited,INE06IR01021
OSWALAGRO,Oswal Agro Mills Limited,INE142A01012
OSWALGREEN,Oswal Greentech Limited,INE143A01010
OSWALPUMPS,Oswal Pumps Limited,INE0BYP01024
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,INE00IK01029
PACEDIGITK,Pace Digitek Limited,INE0S3G01027
PAGEIND,Page Industries Limited,INE761H01022
PAISALO,Paisalo Digital Limited,INE420C01059
PAKKA,PAKKA LIMITED,INE551D01018
PALASHSECU,Palash Securities Limited,INE471W01019
PALREDTEC,Palred Technologies Limited,INE218G01033
PANACEABIO,Panacea Biotec Limited,INE922B01023
PANACHE,Panache Digilife Limited,INE895W01019
PANAMAPET,Panama Petrochem Limited,INE305C01029
PANSARI,Pansari Developers Limited,INE697V01011
PAR,Par Drugs And Chemicals Limited,INE04LG01015
PARACABLES,Paramount Communications Limited,INE074B01023
PARADEEP,Paradeep Phosphates Limited,INE088F01024
PARAGMILK,Parag Milk Foods Limited,INE883N01014
PARAS,Paras Defence and Space Technologies Limited,INE045601023
PARASPETRO,Paras Petrofils Limited,INE162C01024
PARKHOSPS,Park Medi World Limited,INE119201023
PARKHOTELS,Apeejay Surrendra Park Hotels Limited,INE988S01028
PARSVNATH,Parsvnath Developers Limited,INE561H01026
PASHUPATI,Pashupati Cotspin Limited,INE124Y01010
PASUPTAC,Pasupati Acrylon Limited,INE818B01023
PATANJALI,Patanjali Foods Limited,INE619A01035
PATELENG,Patel Engineering Limited,INE244B01030
PATELRMART,Patel Retail Limited,INE0R8B01010
PATINTLOG,Patel Integrated Logistics Limited,INE529D01014
PAUSHAKLimited,Paushak Limited,INE111F01024
PAVNAIND,Pavna Industries Limited,INE07S101038
PAYTM,One 97 Communications Limited,INE982J01020
PCBL,PCBL Chemical Limited,INE602A01031
PCJEWELLER,PC Jeweller Limited,INE785M01021
PDMJEPAPER,Pudumjee Paper Products Limited,INE865T01018
PDSL,PDS Limited,INE111Q01021
PEARLPOLY,Pearl Polymers Limited,INE844A01013
PENIND,Pennar Industries Limited,INE932A01024
PENINLAND,Peninsula Land Limited,INE138A01028
PERSISTENT,Persistent Systems Limited,INE262H01021
PETRONET,Petronet LNG Limited,INE347G01014
PFC,Power Finance Corporation Limited,INE134E01011
PFIZER,Pfizer Limited,INE182A01018
PFOCUS,Prime Focus Limited,INE367G01038
PFS,PTC India Financial Services Limited,INE560K01014
PGEL,PG Electroplast Limited,INE457L01029
PGHH,Procter & Gamble Hygiene and Health Care Limited,INE179A01014
PGHL,Procter & Gamble Health Limited,INE199A01012
PGIL,Pearl Global Industries Limited,INE940H01022
PHOENIXLimited,The Phoenix Mills Limited,INE211B01039
PICCADIL,Piccadily Agro Industries Limited,INE546C01010
PIDILITIND,Pidilite Industries Limited,INE318A01026
PIGL,Power & Instrumentation (Gujarat) Limited,INE557Z01018
PIIND,PI Industries Limited,INE603J01030
PILANIINVS,Pilani Investment and Industries Corporation Limited,INE417C01014
PILITA,PIL ITALICA LIFESTYLE LIMITED,INE600A01035
PINELABS,Pine Labs Limited,INE15B701018
PIONEEREMB,Pioneer Embroideries Limited,INE156C01018
PIRAMALFIN,Piramal Finance Limited,INE202B01038
PITTIENG,Pitti Engineering Limited,INE450D01021
PIXTRANS,Pix Transmissions Limited,INE751B01018
PKTEA,The Peria Karamalai Tea & Produce Company Limited,INE431F01018
PLASTIBLEN,Plastiblends India Limited,INE083C01022
PLATIND,Platinum Industries Limited,INE0PT501018
PLAZACABLE,Plaza Wires Limited,INE0INJ01017
PNB,Punjab National Bank,INE160A01022
PNBGILTS,PNB Gilts Limited,INE859A01011
PNBHOUSING,PNB Housing Finance Limited,INE572E01012
PNC,Pritish Nandy Communications Limited,INE392B01011
PNCINFRA,PNC Infratech Limited,INE195J01029
PNGJL,P N Gadgil Jewellers Limited,INE953R01016
POCL,Pondy Oxides & Chemicals Limited,INE063E01053
PODDARMENT,Poddar Pigments Limited,INE371C01013
POKARNA,Pokarna Limited,INE637C01025
POLICYBZR,PB Fintech Limited,INE417T01026
POLYCAB,Polycab India Limited,INE455K01017
POLYMED,Poly Medicure Limited,INE205C01021
POLYPLEX,Polyplex Corporation Limited,INE633B01018
PONNIERODE,Ponni Sugars (Erode) Limited,INE838E01017
POONAWALLA,Poonawalla Fincorp Limited,INE511C01022
POWERGRID,Power Grid Corporation of India Limited,INE752E01010
POWERINDIA,Hitachi Energy India Limited,INE07Y701011
POWERMECH,Power Mech Projects Limited,INE211R01019
PPAP,PPAP Automotive Limited,INE095I01015
PPL,Prakash Pipes Limited,INE050001010
PPLPHARMA,Piramal Pharma Limited,INE0DK501011
PRABHA,Prabha Energy Limited,INE0I0M01023
PRAENG,Prajay Engineers Syndicate Limited,INE505C01016
PRAJIND,Praj Industries Limited,INE074A01025
PRAKASH,Prakash Industries Limited,INE603A01013
PRAKASHSTL,Prakash Steelage Limited,INE696K01024
PRAXIS,Praxis Home Retail Limited,INE546Y01022
PRECAM,Precision Camshafts Limited,INE484I01029
PRECOT,Precot Limited,INE283A01014
PRECWIRE,Precision Wires India Limited,INE372C01037
PREMEXPLN,Premier Explosives Limited,INE863B01029
PREMIER,Premier Limited,INE342A01018
PREMIERENE,Premier Energies Limited,INE0BS701011
PREMIERPOL,Premier Polyfilm Limited,INE309M01020
PRESTIGE,Prestige Estates Projects Limited,INE811K01011
PRICOLLimited,Pricol Limited,INE726V01018
PRIMESECU,Prime Securities Limited,INE032B01021
PRIMO,Primo Chemicals Limited,INE607A01022
PRINCEPIPE,Prince Pipes And Fittings Limited,INE689W01016
PRITI,Priti International Limited,INE974Z01015
PRITIKAUTO,Pritika Auto Industries Limited,INE583R01029
PRIVISCL,Privi Speciality Chemicals Limited,INE959A01019
PROSTARM,Prostarm Info Systems Limited,INE0BX301013
PROTEAN,Protean eGov Technologies Limited,INE004A01022
PROZONER,Prozone Realty Limited,INE195N01013
PRSMJOHNSN,Prism Johnson Limited,INE010A01011
PRUDENT,Prudent Corporate Advisory Services Limited,INE00F201020
PRUDMOULI,Prudential Sugar Corporation Limited,INE024D01016
PSB,Punjab & Sind Bank,INE608A01012
PSPPROJECT,PSP Projects Limited,INE488V01015
PTC,PTC India Limited,INE877F01012
PTCIL,PTC Industries Limited,INE596F01018
PTL,PTL Enterprises Limited,INE034D01049
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,INE277B01014
PURVA,Puravankara Limited,INE323I01011
PVP,PVP Ventures Limited,INE362A01016
PVRINOX,PVR INOX Limited,INE191H01014
PVSL,Popular Vehicles and Services Limited,INE772T01024
PWL,Physicswallah Limited,INE0LP301011
PYRAMID,Pyramid Technoplast Limited,INE0MIS01010
QPOWER,Quality Power Electrical Equipments Limited,INE0SII01026
QUADFUTURE,Quadrant Future Tek Limited,INE0LRY01011
QUESS,Quess Corp Limited,INE615P01015
QUICKHEAL,Quick Heal Technologies Limited,INE306L01010
RACE,Race Eco Chain Limited,INE084Q01012
RACLGEAR,RACL Geartech Limited,INE704B01017
RADAAN,Radaan Mediaworks India Limited,INE874F01027
RADHIKAJWE,Radhika Jeweltech Limited,INE583V01021
RADIANTCMS,Radiant Cash Management Services Limited,INE855R01021
RADICO,Radico Khaitan Limited,INE944F01028
RADIOCITY,Music Broadcast Limited,INE919I01024
RAILTEL,Railtel Corporation Of India Limited,INE0DD101019
RAIN,Rain Industries Limited,INE855B01025
RAINBOW,Rainbow Childrens Medicare Limited,INE961O01016
RAJESHEXPO,Rajesh Exports Limited,INE343B01030
RAJMET,Rajnandini Metal Limited,INE00KV01022
RAJOOENG,Rajoo Engineers Limited,INE535F01024
RAJRATAN,Rajratan Global Wire Limited,INE451D01029
RAJRILimited,Raj Rayon Industries Limited,INE533D01032
RAJSREESUG,Rajshree Sugars & Chemicals Limited,INE562B01019
RAJTV,Raj Television Network Limited,INE952H01027
RALLIS,Rallis India Limited,INE613A01020
RAMANEWS,Shree Rama Newsprint Limited,INE278B01020
RAMAPHO,Rama Phosphates Limited,INE809A01032
RAMASTEEL,Rama Steel Tubes Limited,INE230R01035
RAMCOCEM,The Ramco Cements Limited,INE331A01037
RAMCOIND,Ramco Industries Limited,INE614A01028
RAMCOSYS,Ramco Systems Limited,INE246B01019
RAMKY,Ramky Infrastructure Limited,INE874I01013
RAMRAT,Ram Ratna Wires Limited,INE207E01023
RANASUG,Rana Sugars Limited,INE625B01014
RANEHOLDIN,Rane Holdings Limited,INE384A01010
RATEGAIN,Rategain Travel Technologies Limited,INE0CLI01024
RATNAMANI,Ratnamani Metals & Tubes Limited,INE703B01027
RATNAVEER,Ratnaveer Precision Engineering Limited,INE05CZ01011
RAYMOND,Raymond Limited,INE301A01014
RAYMONDLSL,Raymond Lifestyle Limited,INE02ID01020
RAYMONDREL,Raymond Realty Limited,INE1SY401010
RBA,Restaurant Brands Asia Limited,INE07T201019
RBLBANK,RBL Bank Limited,INE976G01028
RBZJEWEL,RBZ Jewellers Limited,INE0PEQ01016
RCF,Rashtriya Chemicals and Fertilizers Limited,INE027A01015
RCOM,Reliance Communications Limited,INE330H01018
RECLimited,REC Limited,INE020B01018
REDINGTON,Redington Limited,INE891D01026
REDTAPE,Redtape Limited,INE0LXT01019
REFEX,Refex Industries Limited,INE056I01025
REGAAL,Regaal Resources Limited,INE0MHO01029
REGENCERAM,Regency Ceramics Limited,INE277C01012
RELAXO,Relaxo Footwears Limited,INE131B01039
RELCHEMQ,Reliance Chemotex Industries Limited,INE750D01016
RELIABLE,Reliable Data Services Limited,INE375Y01018
RELIANCE,Reliance Industries Limited,INE002A01018
RELIGARE,Religare Enterprises Limited,INE621H01010
RELimited,Ravindra Energy Limited,INE206N01018
REMSONSIND,Remsons Industries Limited,INE474C01023
RENUKA,Shree Renuka Sugars Limited,INE087H01022
REPCOHOME,Repco Home Finance Limited,INE612J01015
REPL,Rudrabhishek Enterprises Limited,INE364Z01019
REPRO,Repro India Limited,INE461B01014
RESPONIND,Responsive Industries Limited,INE688D01026
RETAIL,JHS Svendgaard Retail Ventures Limited,INE03DD01011
RGL,Renaissance Global Limited,INE722H01024
RHETAN,Rhetan TMT Limited,INE0KKN01029
RHFL,Reliance Home Finance Limited,INE217K01011
RHIM,RHI MAGNESITA INDIA LIMITED,INE743M01012
RHL,Robust Hotels Limited,INE508K01013
RICOAUTO,Rico Auto Industries Limited,INE209B01025
RIIL,Reliance Industrial Infrastructure Limited,INE046A01015
RISHABH,Rishabh Instruments Limited,INE0N2P01017
RITCO,Ritco Logistics Limited,INE01EG01016
RITES,RITES Limited,INE320J01015
RKDL,Ravi Kumar Distilleries Limited,INE722J01012
RKEC,RKEC Projects Limited,INE786W01010
RKFORGE,Ramkrishna Forgings Limited,INE399G01023
RKSWAMY,R K Swamy Limited,INE0NQ801033
RMDRIP,R M Drip and Sprinklers Systems Limited,INE219Y01026
RML,Rane (Madras) Limited,INE050H01012
RNBDENIMS,R&B Denims Limited,INE012Q01021
ROHLimited,Royal Orchid Hotels Limited,INE283H01019
ROLEXRINGS,Rolex Rings Limited,INE645S01024
ROLLT,Rollatainers Limited,INE927A01040
ROML,Raj Oil Mills Limited,INE294G01026
ROSSARI,Rossari Biotech Limited,INE02A801020
ROSSELLIND,Rossell India Limited,INE847C01020
ROSSTECH,Rossell Techsys Limited,INE0OJW01016
ROTO,Roto Pumps Limited,INE535D01037
ROUTE,ROUTE MOBILE LIMITED,INE450U01017
RPEL,Raghav Productivity Enhancers Limited,INE912T01018
RPGLIFE,RPG Life Sciences Limited,INE105J01010
RPOWER,Reliance Power Limited,INE614G01033
RPPINFRA,R.P.P. Infra Projects Limited,INE324L01013
RPPL,Rajshree Polypack Limited,INE760W01023
RPSGVENT,RPSG VENTURES LIMITED,INE425Y01011
RPTECH,Rashi Peripherals Limited,INE0J1F01024
RRKABEL,R R Kabel Limited,INE777K01022
RSSOFTWARE,R. S. Software (India) Limited,INE165B01029
RSWM,RSWM Limited,INE611A01016
RSYSTEMS,R Systems International Limited,INE411H01032
RTNINDIA,RattanIndia Enterprises Limited,INE834M01019
RTNPOWER,RattanIndia Power Limited,INE399K01017
RUBFILA,Rubfila International Limited,INE642C01025
RUBICON,Rubicon Research Limited,INE506V01022
RUBYMILLS,The Ruby Mills Limited,INE301D01026
RUCHINFRA,Ruchi Infrastructure Limited,INE413B01023
RUCHIRA,Ruchira Papers Limited,INE803H01014
RUDRA,Rudra Global Infra Products Limited,INE027T01023
RUPA,Rupa & Company Limited,INE895B01021
RUSHIL,Rushil Decor Limited,INE573K01025
RUSTOMJEE,Keystone Realtors Limited,INE263M01029
RVHL,Ravinder Heights Limited,INE09E501017
RVNL,Rail Vikas Nigam Limited,INE415G01027
RVTH,Revathi Equipment India Limited,INE0DAB01012
S&SPOWER,S&S Power Switchgears Limited,INE902B01017
SAATVIKGL,Saatvik Green Energy Limited,INE13B501022
SABEVENTS,Sab Events & Governance Now Media Limited,INE860T01019
SABTNL,Sri Adhikari Brothers Television Network Limited,INE416A01044
SADBHAV,Sadbhav Engineering Limited,INE226H01026
SADBHIN,Sadbhav Infrastructure Project Limited,INE764L01010
SADHNANIQ,Sadhana Nitrochem Limited,INE888C01040
SAFARI,Safari Industries (India) Limited,INE429E01023
SAGARDEEP,Sagardeep Alloys Limited,INE976T01013
SAGCEM,Sagar Cements Limited,INE229C01021
SAGILITY,SAGILITY LIMITED,INE0W2G01015
SAHYADRI,Sahyadri Industries Limited,INE280H01015
SAIL,Steel Authority of India Limited,INE114A01011
SAILIFE,Sai Life Sciences Limited,INE570L01029
SAKAR,Sakar Healthcare Limited,INE732S01012
SAKHTISUG,Sakthi Sugars Limited,INE623A01011
SAKSOFT,Saksoft Limited,INE667G01023
SAKUMA,Sakuma Exports Limited,INE190H01024
SALASAR,Salasar Techno Engineering Limited,INE170V01027
SALONA,Salona Cotspin Limited,INE498E01010
SALSTEEL,S.A.L. Steel Limited,INE658G01014
SALZERELEC,Salzer Electronics Limited,INE457F01013
SAMBHAAV,Sambhaav Media Limited,INE699B01027
SAMBHV,Sambhv Steel Tubes Limited,INE12NJ01018
SAMHI,Samhi Hotels Limited,INE08U801020
SAMMAANCAP,Sammaan Capital Limited,INE148I01020
SAMPANN,Sampann Utpadan India Limited,INE735M01018
SANATHAN,Sanathan Textiles Limited,INE0JPD01013
SANCO,Sanco Industries Limited,INE782L01012
SANDESH,The Sandesh Limited,INE583B01015
SANDHAR,Sandhar Technologies Limited,INE278H01035
SANDUMA,Sandur Manganese & Iron Ores Limited,INE149K01016
SANGAMIND,Sangam (India) Limited,INE495C01010
SANGHIIND,Sanghi Industries Limited,INE999B01013
SANGHVIMOV,Sanghvi Movers Limited,INE989A01032
SANGINITA,Sanginita Chemicals Limited,INE753W01010
SANOFI,Sanofi India Limited,INE058A01010
SANOFICONR,Sanofi Consumer Healthcare India Limited,INE0UOS01011
SANSERA,Sansera Engineering Limited,INE953O01021
SANSTAR,Sanstar Limited,INE08NE01025
SANWARIA,Sanwaria Consumer Limited,INE890C01046
SAPPHIRE,Sapphire Foods India Limited,INE806T01020
SARDAEN,Sarda Energy & Minerals Limited,INE385C01021
SAREGAMA,Saregama India Limited,INE979A01025
SARLAPOLY,Sarla Performance Fibers Limited,INE453D01025
SARVESHWAR,Sarveshwar Foods Limited,INE324X01026
SASKEN,Sasken Technologies Limited,INE231F01020
SASTASUNDR,Sastasundar Ventures Limited,INE019J01013
SATIA,Satia Industries Limited,INE170E01023
SATIN,Satin Creditcare Network Limited,INE836B01017
SAURASHCEM,Saurashtra Cement Limited,INE626A01014
SBC,SBC Exports Limited,INE04AK01028
SBCL,Shivalik Bimetal Controls Limited,INE386D01027
SBFC,SBFC Finance Limited,INE423Y01016
SBGLP,Suratwwala Business Group Limited,INE05ST01028
SBICARD,SBI Cards and Payment Services Limited,INE018E01016
SBILIFE,SBI Life Insurance Company Limited,INE123W01016
SBIN,State Bank of India,INE062A01020
SCHAEFFLER,Schaeffler India Limited,INE513A01022
SCHAND,S Chand And Company Limited,INE807K01035
SCHNEIDER,Schneider Electric Infrastructure Limited,INE839M01018
SCI,Shipping Corporation Of India Limited,INE109A01011
SCILAL,Shipping Corporation of India Land and Assets Limited,INE0PB301013
SCODATUBES,Scoda Tubes Limited,INE090501011
SCPL,Sheetal Cool Products Limited,INE501Y01019
SDBL,Som Distilleries & Breweries Limited,INE480C01038
SEAMECLimited,Seamec Limited,INE497B01018
SECMARK,SecMark Consultancy Limited,INE0BTM01013
SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED,INE650K01021
SEJALLimited,Sejal Glass Limited,INE955I01044
SELMC,SEL Manufacturing Company Limited,INE105I01020
SEMAC,Semac Construction Limited,INE617A01013
SENCO,Senco Gold Limited,INE602W01027
SENORES,Senores Pharmaceuticals Limited,INE0RB801010
SEPC,SEPC Limited,INE964H01014
SEQUENT,Sequent Scientific Limited,INE807F01027
SERVOTECH,Servotech Renewable Power System Limited,INE782X01033
SESHAPAPER,Seshasayee Paper and Boards Limited,INE630A01024
SETCO,Setco Automotive Limited,INE878E01021
SETUINFRA,Setubandhan Infrastructure Limited,INE023M01027
SEYAIND,Seya Industries Limited,INE573R01012
SFL,Sheela Foam Limited,INE916U01025
SGFIN,SG Finserve Limited,INE618R01015
SGIL,Synergy Green Industries Limited,INE00QT01015
SGL,STL Global Limited,INE353H01010
SGLTL,Standard Glass Lining Technology Limited,INE0M4D01010
SGMART,SG Mart Limited,INE385F01024
SHAH,Shah Metacorp Limited,INE482J01021
SHAHALLOYS,Shah Alloys Limited,INE640C01011
SHAILY,Shaily Engineering Plastics Limited,INE151G01028
SHAKTIPUMP,Shakti Pumps (India) Limited,INE908D01010
SHALBY,Shalby Limited,INE597J01018
SHALPAINTS,Shalimar Paints Limited,INE849C01026
SHANKARA,Shankara Building Products Limited,INE274V01019
